sample_id,instrument_id,run_date,month,retention_time_min,peak_area,peak_width_min,concentration_mgL,true_value_mgL,error_mgL,error_pct,percent_recovery,rsd_pct,response_factor,peakarea_zscore,retention_deviation,is_outlier,replicate_number,residual,ewma,cusum,roll_mean,roll_std,roll_cv,slope,intercept,r2,total_runs,out_of_control,mean_peak_area,std_peak_area,ucl,lcl,out_of_control_runs,resolution,tailing,plates
S001,HPLC_01,2025-01-02,2025-01,5.2,10450.0,0.11,1.0,1.01,-0.010000000000000009,-0.990099009900991,99.00990099009901,0.0,10450.0,0.9771343089281268,-0.034660633484162595,0,1,71.58371040723978,10284.017280000004,-26.497737556561333,10374.0,319.0285253703812,0.0307527015009043,9652.854567725935,362.59691889034366,0.9564094144704427,221,0,10378.41628959276,239.96203962442843,11098.302408466046,9658.530170719474,0,2.9805078130635185,1.0125986977359709,35755.371900826445
S002,HPLC_01,2025-01-03,2025-01,5.3,10620.0,0.11,1.02,1.07,-0.050000000000000044,-4.672897196261686,95.32710280373831,0.0,10411.764705882353,1.460248782675133,0.06533936651583705,0,1,241.58371040723978,10360.584847360004,33.253393665158,10377.57142857143,292.2703412612241,0.028163654981602747,9652.854567725935,362.59691889034366,0.9564094144704427,221,0,10378.41628959276,239.96203962442843,11098.302408466046,9658.530170719474,0,1.8817642817403153,0.9535090753236785,37143.80165289256
S003,GC_02,2025-01-03,2025-01,3.8,9850.0,0.08,0.98,0.95,0.030000000000000027,3.157894736842108,103.15789473684211,0.0,10051.020408163266,-0.7279755984142479,0.09986842105263127,0,1,7.7324561403511325,9953.791360000003,508.3947368421068,9927.0,277.06605710552117,0.027910351274858584,9576.082433484811,416.1264011096664,0.9843998845685548,228,0,9842.267543859649,215.5335627024467,10488.86823196699,9195.666855752308,0,2.310082766840315,1.017020096908843,36100.0
S004,GC_02,2025-03-09,2025-03,3.55,9991.0,0.11,1.0,1.03,-0.030000000000000027,-2.9126213592233037,97.0873786407767,0.0,9991.0,-0.3272747701887898,-0.15013157894736873,0,1,148.73245614035113,9889.274771821663,939.0657894737233,9872.42857142857,248.62411866299414,0.025183683717148176,9576.082433484811,416.1264011096664,0.9843998845685548,228,0,9842.267543859649,215.5335627024467,10488.86823196699,9195.666855752308,0,1.8988528758939385,1.103962035450693,16664.462809917357
S005,HPLC_01,2025-02-27,2025-02,5.04,10276.0,0.1,1.03,1.04,-0.010000000000000009,-0.9615384615384623,99.03846153846155,0.0,9976.699029126214,0.48265243579883815,-0.19466063348416274,0,1,-102.41628959276022,10342.365115364826,137.63348416289045,10443.142857142857,170.06315353561348,0.016284671756577034,9652.854567725935,362.59691889034366,0.9564094144704427,221,0,10378.41628959276,239.96203962442843,11098.302408466046,9658.530170719474,0,1.704452266557214,0.9921545251017185,40642.56
S006,GC_02,2025-02-24,2025-02,3.73,9875.0,0.11,0.99,0.99,0.0,0.0,100.0,0.0,9974.747474747475,-0.6569293522749823,0.029868421052631433,0,1,32.73245614035113,9823.079665316429,2155.894736842136,9859.0,216.81251501392978,0.021991329243729565,9576.082433484811,416.1264011096664,0.9843998845685548,228,0,9842.267543859649,215.5335627024467,10488.86823196699,9195.666855752308,0,2.276286494488616,1.0199500034765772,18397.223140495866
S007,GC_02,2025-02-15,2025-02,3.83,9645.0,0.09,0.96,0.95,0.010000000000000009,1.0526315789473695,101.05263157894737,0.0,10046.875,-1.310554816756226,0.12986842105263152,0,1,-197.26754385964887,9822.013469729827,2070.4429824561666,9829.142857142857,239.60483340382578,0.024376981481117093,9576.082433484811,416.1264011096664,0.9843998845685548,228,0,9842.267543859649,215.5335627024467,10488.86823196699,9195.666855752308,0,1.543936058415333,1.0148268335217179,28975.60493827161
S008,HPLC_01,2025-01-01,2025-01,5.47,10076.0,0.09,1.01,0.96,0.050000000000000044,5.208333333333338,105.20833333333334,0.0,9976.237623762376,-0.08571753331528674,0.23533936651583698,0,1,-302.4162895927602,10076.0,-302.4162895927602,10076.0,,,9652.854567725935,362.59691889034366,0.9564094144704427,221,0,10378.41628959276,239.96203962442843,11098.302408466046,9658.530170719474,0,2.5442363031942543,1.0562920124277904,59103.01234567902
S009,HPLC_01,2025-03-13,2025-03,5.23,10093.0,0.11,1.01,1.03,-0.020000000000000018,-1.9417475728155356,98.05825242718447,0.0,9993.069306930693,-0.03740608594058613,-0.0046606334841623465,0,1,-285.4162895927602,10257.793539295504,-531.7737556561151,10281.714285714286,206.47010621855006,0.02008129194033583,9652.854567725935,362.59691889034366,0.9564094144704427,221,0,10378.41628959276,239.96203962442843,11098.302408466046,9658.530170719474,0,2.827295739180559,1.0344758295228216,36169.12396694215
S010,GC_02,2025-01-11,2025-01,3.76,9795.0,0.11,0.98,0.94,0.040000000000000036,4.255319148936175,104.25531914893618,0.0,9994.897959183674,-0.8842773399206322,0.05986842105263124,0,1,-47.26754385964887,9733.384455605108,247.04385964912944,9722.285714285714,164.51718682832507,0.016921657279274062,9576.082433484811,416.1264011096664,0.9843998845685548,228,0,9842.267543859649,215.5335627024467,10488.86823196699,9195.666855752308,0,2.012217864290811,1.0468523283482103,18694.347107438014
